Date,Avg Temperature
2010-01-01,55.7
2010-01-02,50.6
2010-01-03,52.8
2010-01-04,51.0
2010-01-05,53.1
2010-01-06,54.4
2010-01-07,53.0
2010-01-08,50.2
2010-01-09,51.7
2010-01-10,46.8
2010-01-11,48.4
2010-01-12,49.6
2010-01-13,50.6
2010-01-14,49.9
2010-01-15,51.6
2010-01-16,53.7
2010-01-17,50.7
2010-01-18,53.1
2010-01-19,53.0
2010-01-20,51.3
2010-01-21,51.9
2010-01-22,54.3
2010-01-23,57.8
2010-01-24,60.8
2010-01-25,63.9
2010-01-26,56.1
2010-01-27,60.3
2010-01-28,67.0
2010-01-29,66.4
2010-01-30,61.0
2010-01-31,61.7
2010-02-01,61.3
2010-02-02,60.7
2010-02-03,60.6
2010-02-04,60.3
2010-02-05,62.3
2010-02-06,67.2
2010-02-07,72.8
2010-02-08,66.9
2010-02-09,63.0
2010-02-10,61.2
2010-02-11,60.9
2010-02-12,62.5
2010-02-13,64.4
2010-02-14,61.8
2010-02-15,61.1
2010-02-16,65.1
2010-02-17,58.9
2010-02-18,61.8
2010-02-19,62.9
2010-02-20,63.9
2010-02-21,67.0
2010-02-22,71.7
2010-02-23,70.7
2010-02-24,70.3
2010-02-25,68.8
2010-02-26,72.2
2010-02-27,74.2
2010-02-28,76.9
2010-03-01,78.6
2010-03-02,76.1
2010-03-03,75.9
2010-03-04,76.0
2010-03-05,72.5
2010-03-06,74.7
2010-03-07,71.3
2010-03-08,68.1
2010-03-09,71.1
2010-03-10,71.7
2010-03-11,73.0
2010-03-12,75.2
2010-03-13,75.4
2010-03-14,75.9
2010-03-15,77.3
2010-03-16,79.5
2010-03-17,80.6
2010-03-18,81.7
2010-03-19,80.8
2010-03-20,82.3
2010-03-21,86.1
2010-03-22,86.2
2010-03-23,87.2
2010-03-24,87.7
2010-03-25,85.0
2010-03-26,87.6
2010-03-27,86.4
2010-03-28,83.9
2010-03-29,86.6
2010-03-30,89.1
2010-03-31,88.3
2010-04-01,85.9
2010-04-02,88.0
2010-04-03,87.7
2010-04-04,91.1
2010-04-05,82.5
2010-04-06,84.6
2010-04-07,87.2
2010-04-08,90.5
2010-04-09,91.1
2010-04-10,91.9
2010-04-11,93.3
2010-04-12,94.7
2010-04-13,92.2
2010-04-14,93.3
2010-04-15,94.6
2010-04-16,96.1
2010-04-17,97.6
2010-04-18,99.0
2010-04-19,97.7
2010-04-20,96.3
2010-04-21,95.8
2010-04-22,93.5
2010-04-23,90.9
2010-04-24,90.1
2010-04-25,91.6
2010-04-26,94.7
2010-04-27,94.7
2010-04-28,92.9
2010-04-29,91.1
2010-04-30,94.0
2010-05-01,87.0
2010-05-02,87.6
2010-05-03,89.7
2010-05-04,93.3
2010-05-05,95.0
2010-05-06,90.1
2010-05-07,83.9
2010-05-08,88.6
2010-05-09,90.8
2010-05-10,94.0
2010-05-11,94.9
2010-05-12,95.9
2010-05-13,100.4
2010-05-14,98.7
2010-05-15,97.4
2010-05-16,99.7
2010-05-17,101.9
2010-05-18,100.5
2010-05-19,97.3
2010-05-20,97.3
2010-05-21,94.5
2010-05-22,98.6
2010-05-23,98.4
2010-05-24,99.5
2010-05-25,98.7
2010-05-26,101.9
2010-05-27,99.6
2010-05-28,90.8
2010-05-29,86.1
2010-05-30,92.3
2010-05-31,99.2
2010-06-01,100.6
2010-06-02,101.6
2010-06-03,92.2
2010-06-04,92.9
2010-06-05,86.7
2010-06-06,88.4
2010-06-07,82.5
2010-06-08,75.9
2010-06-09,88.9
2010-06-10,92.5
2010-06-11,96.6
2010-06-12,99.0
2010-06-13,91.5
2010-06-14,90.5
2010-06-15,94.3
2010-06-16,92.6
2010-06-17,96.2
2010-06-18,98.1
2010-06-19,100.2
2010-06-20,101.8
2010-06-21,100.4
2010-06-22,101.6
2010-06-23,100.7
2010-06-24,91.5
2010-06-25,89.2
2010-06-26,95.9
2010-06-27,95.6
2010-06-28,92.9
2010-06-29,94.9
2010-06-30,98.7
2010-07-01,87.9
2010-07-02,92.4
2010-07-03,91.5
2010-07-04,82.5
2010-07-05,81.1
2010-07-06,84.0
2010-07-07,85.5
2010-07-08,88.8
2010-07-09,91.2
2010-07-10,91.2
2010-07-11,91.4
2010-07-12,86.5
2010-07-13,87.7
2010-07-14,91.3
2010-07-15,88.6
2010-07-16,87.4
2010-07-17,87.7
2010-07-18,90.3
2010-07-19,85.6
2010-07-20,81.0
2010-07-21,84.6
2010-07-22,84.8
2010-07-23,86.5
2010-07-24,88.5
2010-07-25,87.4
2010-07-26,89.7
2010-07-27,81.4
2010-07-28,85.7
2010-07-29,84.7
2010-07-30,84.1
2010-07-31,79.1
2010-08-01,81.1
2010-08-02,84.2
2010-08-03,82.8
2010-08-04,84.2
2010-08-05,82.2
2010-08-06,88.1
2010-08-07,87.9
2010-08-08,89.2
2010-08-09,88.5
2010-08-10,87.6
2010-08-11,82.9
2010-08-12,83.7
2010-08-13,84.9
2010-08-14,82.9
2010-08-15,84.5
2010-08-16,84.3
2010-08-17,86.0
2010-08-18,83.6
2010-08-19,80.8
2010-08-20,82.5
2010-08-21,80.8
2010-08-22,80.0
2010-08-23,83.9
2010-08-24,82.0
2010-08-25,81.5
2010-08-26,84.3
2010-08-27,81.3
2010-08-28,85.7
2010-08-29,86.8
2010-08-30,87.3
